post_did,post_uri,author,handle,author_did,text,created_at
did:plc:vok3j6g7yrv63grj4to7byio,at://did:plc:vok3j6g7yrv63grj4to7byio/app.bsky.feed.post/3lsgtjxjwas2v,Baseball by BSmile,bsmile.bsky.social,did:plc:vok3j6g7yrv63grj4to7byio,The powerful swing of young New York #Yankees star Mickey Mantle! #MLB #Baseball #Legend #History #RepBX,2025-06-25T14:36:46.068Z
did:plc:tl7hpw2ij6itli2or6khiusi,at://did:plc:tl7hpw2ij6itli2or6khiusi/app.bsky.feed.post/3lsj4c5fv722h,Dana Goldberg,dgcomedy.bsky.social,did:plc:tl7hpw2ij6itli2or6khiusi,"Happy 10 years of Marriage Equality and the Obergefell decision! Our hero on Gay of the Day is the man himself, Jim Obergefell! share his story so the world remembers why we fight for equality in the first place! 🏳️‍⚧️🏳️‍🌈❤️#lgbtq #pridemonth #pride #history #equality",2025-06-26T12:18:46.948Z
did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lskkttkcus2x,Punk Rock History,punkrockhistory.bsky.social,did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,"Released 45 years ago today

""Love Will Tear Us Apart"" by Joy Division

Joy Division - Love Will Tear Us Apart [OFFICIAL MUSIC VIDEO]

#punk #punkrock #postpunk #lovewilltearusapart #joydivision #history #JoyDivision #otd",2025-06-27T02:11:52.712Z
did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lskjwc2dhs2d,Punk Rock History,punkrockhistory.bsky.social,did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,"45 years ago today

""Love Will Tear Us Apart"" is a song by English post punk Joy Division, released on this day in 1980 as a non-album single

#punk #punkrock #postpunk #lovewilltearusapart #joydivision #history #JoyDivision #otd",2025-06-27T01:55:21.272Z
did:plc:tl7hpw2ij6itli2or6khiusi,at://did:plc:tl7hpw2ij6itli2or6khiusi/app.bsky.feed.post/3lsgsyzdkdk2o,Dana Goldberg,dgcomedy.bsky.social,did:plc:tl7hpw2ij6itli2or6khiusi,"Civil rights hero, activist, priest and gender pioneer! It’s time for Pauli Murray on The Gay of the Day! #pride #pridemonth #lgbt #lgbtqia #gay #history",2025-06-25T14:27:17.534Z
did:plc:eexrkxc76w3z3bxsdhonvdxn,at://did:plc:eexrkxc76w3z3bxsdhonvdxn/app.bsky.feed.post/3lsixyvyric2v,Mark Evans Photography  🏴󠁧󠁢󠁷󠁬󠁳󠁿,mark-s2436.bsky.social,did:plc:eexrkxc76w3z3bxsdhonvdxn,"Gorgeous colours from Powis Castle garden here in Wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿
#Wales #conservation #Cymru
#history #flowers #countryside
#landscapephotography #photo
#NationalTrust #architecture
#CanonCamera #botany",2025-06-26T11:02:02.209Z
did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lsi2mixynk2t,Punk Rock History,punkrockhistory.bsky.social,did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,"Happy 70th Birthday Mick Jones

The Clash ""Train In Vain,"" April 1980 with Mick on lead vocals, and the band's 1st American TV performance on the show 'Fridays.'

#punk #punks #punkrock #theclash #mickjones #history #punkrockhistory #otd",2025-06-26T02:16:07.399Z
did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lshzl7yugc2r,Punk Rock History,punkrockhistory.bsky.social,did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,"Happy 70th Birthday Mick Jones, co-founder and lead guitarist for The Clash, born on this day in 1955, Wandsworth, London

Photo by Keith Bernstein

#punk #punks #punkrock #mickjones #TheClash #history #punkrockhistory #otd",2025-06-26T01:57:30.681Z
did:plc:ydqzin7kctnatbefaxcp6f7s,at://did:plc:ydqzin7kctnatbefaxcp6f7s/app.bsky.feed.post/3lsj7f7feoc2r,Go4Know,go4know.com,did:plc:ydqzin7kctnatbefaxcp6f7s,"🔥 How Steamboats Became Legends of the Mississippi

#knowledge #curiosity #education #ai #art #aiart #chatgpt #bluesky #photo #photography #steamboat #mississippi #history #river #paddlewheel #technology #marktwain #america #transport #engineering #heritage #culture #travel #steam",2025-06-26T13:14:10.918Z
did:plc:tl7hpw2ij6itli2or6khiusi,at://did:plc:tl7hpw2ij6itli2or6khiusi/app.bsky.feed.post/3lsebpqbpks2q,Dana Goldberg,dgcomedy.bsky.social,did:plc:tl7hpw2ij6itli2or6khiusi,Meet the transgender attorney from the @aclu_nationwide who continues to take on the Supreme Court! Our hero on the Gay of the Day is Chase Strangio! #lgbtq #pride #pridemonth #trans #history #equality @chasestrangio @lambdalegal,2025-06-24T14:12:32.959Z
did:plc:eczyvsiw3e7ppq3lzlsvot23,at://did:plc:eczyvsiw3e7ppq3lzlsvot23/app.bsky.feed.post/3lsdmvortn327,Carve Her Name,carvehername.bsky.social,did:plc:eczyvsiw3e7ppq3lzlsvot23,"#OnThisDay, 24 June 1916, Mary Pickford becomes the first Hollywood star to sign a million-dollar contract.


#ReclaimTheFrame #HollywoodHistory #WomenInHistory #OTD #History #WomensHistory 🗃️
1/2",2025-06-24T08:00:03.000Z
did:plc:ydqzin7kctnatbefaxcp6f7s,at://did:plc:ydqzin7kctnatbefaxcp6f7s/app.bsky.feed.post/3lsic3gyj5s25,Go4Know,go4know.com,did:plc:ydqzin7kctnatbefaxcp6f7s,"🔥 Why Did Eminem's ""Lose Yourself"" Become One of the Most Iconic Songs in Music History?

#knowledge #curiosity #education #ai #art #chatgpt #eminem #loseyourself #rap #hiphop #8mile #motivation #lyrics #music #song #iconic #classic #history #storytelling #detroit #success #anthem",2025-06-26T04:29:44.827Z
did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lskk3wewnk2u,Punk Rock History,punkrockhistory.bsky.social,did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,"Remembering Steve Soto, founding member of California punk rock band Agent Orange in 1979, founding member of Adolescents in 1980, died on this day in 2018 at the age of 54.

Photo by Martin Wong

#punk #punks #punkrock #stevesoto #history #punkrockhistory #otd",2025-06-27T01:58:30.352Z
did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lsi3aqxbx22t,Punk Rock History,punkrockhistory.bsky.social,did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,"Released 46 years ago today

Horror Business, the third single by the American punk band Misfits.

#punk #punks #punkrockhistory #punklegend #themisfits #horrorbusiness #history #punkrock #otd",2025-06-26T02:27:26.852Z
did:plc:jtj4ocf2hc4hyhzt5fnsj62j,at://did:plc:jtj4ocf2hc4hyhzt5fnsj62j/app.bsky.feed.post/3lsk5fig7522b,Journeydude,scottishinsider.org,did:plc:jtj4ocf2hc4hyhzt5fnsj62j,🪬🧿  Highlands and Castle Stalker #scotland #highlands #travel #nature #castle #history,2025-06-26T22:11:12.604Z
did:plc:eexrkxc76w3z3bxsdhonvdxn,at://did:plc:eexrkxc76w3z3bxsdhonvdxn/app.bsky.feed.post/3lsiwnwhets24,Mark Evans Photography  🏴󠁧󠁢󠁷󠁬󠁳󠁿,mark-s2436.bsky.social,did:plc:eexrkxc76w3z3bxsdhonvdxn,"The impressive Gregynog Hall in Powys, Wales is about 150 years old although there has been a hall on this site since the 12 century, The hall was also used as a convalescent home during world war 2.
#Wales #heritage #countryside
#conservation #Cymru #photo
#CanonCamera #history",2025-06-26T10:37:59.846Z
did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lshzwehj4k2k,Punk Rock History,punkrockhistory.bsky.social,did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,"42 years ago today 
Minor Threat at The Great Gildersleeves, Bowery, Manhatten, June 26, 1983.

Photo by Adam Cohen.

Another venue with hardcore Sundays 👍

#punk #punks #punkrock #hardcorepunk #minorthreat #thegreatgildersleeves #history #punkrockhistory #otd",2025-06-26T02:03:44.453Z
did:plc:us3bv6g2rnd2ynhnzbc6t7rh,at://did:plc:us3bv6g2rnd2ynhnzbc6t7rh/app.bsky.feed.post/3lsf6hptvq22n,Dr. Jacqueline E. Whitt,notabattlechick.bsky.social,did:plc:us3bv6g2rnd2ynhnzbc6t7rh,This move is abhorrent and antithetical to the fundamental principles of a democratic society. Five-alarm fire time for historians and others who care about access to the nation’s past and its documentary record. 🔥 🔥 🔥 #historians #history #skystorians,2025-06-24T22:47:02.578Z
did:plc:fitaiaaxjbgryrywqebywz2h,at://did:plc:fitaiaaxjbgryrywqebywz2h/app.bsky.feed.post/3lsleaphf7k26,BERGΛMΛX,bergamax.bsky.social,did:plc:fitaiaaxjbgryrywqebywz2h,"Little Tokyo, Los Angeles (1950).

The streets bustled with small businesses, markets, and restaurants offering sushi, udon, and mochi. Children walked to language schools while elders gathered for morning tea and conversation.   Signs blended English and Japanese.

#photography #history #oldtimes",2025-06-27T09:46:28.167Z
did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lsfke5lixc2b,Punk Rock History,punkrockhistory.bsky.social,did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,"Descendents at Trocadero Club, San Francisco, performs 'Hope'

#punk #punks #punkrock #hardcorepunk #descendents #history #punkrockhistory",2025-06-25T02:19:47.673Z
