post_uri,polarity,category,likes
at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lshzl7yugc2r,0.8,positive,50
at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lsddugccgk2m,0.8,positive,50
at://did:plc:eexrkxc76w3z3bxsdhonvdxn/app.bsky.feed.post/3lsixyvyric2v,0.7,positive,50
at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lskkttkcus2x,0.65,positive,50
at://did:plc:tl7hpw2ij6itli2or6khiusi/app.bsky.feed.post/3lsj4c5fv722h,0.6111111111111112,positive,50
at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lsczjd6wqc2b,0.6,positive,50
at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lsfwmy7r3c2k,0.6,positive,50
at://did:plc:eexrkxc76w3z3bxsdhonvdxn/app.bsky.feed.post/3lsiwnwhets24,0.55,positive,50
at://did:plc:eexrkxc76w3z3bxsdhonvdxn/app.bsky.feed.post/3lsbdhpsk4s2q,0.55,positive,50
at://did:plc:y2v2hvehgzh4xi3cwje3ws43/app.bsky.feed.post/3lsg46ak5zc27,0.5,positive,50
at://did:plc:eexrkxc76w3z3bxsdhonvdxn/app.bsky.feed.post/3lsdy4bwops2j,0.475,positive,50
at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lsi2mixynk2t,0.4,positive,50
at://did:plc:ydqzin7kctnatbefaxcp6f7s/app.bsky.feed.post/3lsic3gyj5s25,0.39333333333333337,positive,50
at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lshzwehj4k2k,0.375,positive,50
at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lsaif6vdus24,0.375,positive,50
at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lsai2hbzc22j,0.31212121212121213,positive,50
at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lskjwc2dhs2d,0.30714285714285716,positive,50
at://did:plc:7jso3p6tttrr26r2xh6r7uoc/app.bsky.feed.post/3lsdohf7hqc25,0.2642857142857143,positive,50
at://did:plc:eczyvsiw3e7ppq3lzlsvot23/app.bsky.feed.post/3lsdmvortn327,0.25,positive,50
at://did:plc:y2v2hvehgzh4xi3cwje3ws43/app.bsky.feed.post/3lsdmjemi422n,0.25,positive,50
at://did:plc:vok3j6g7yrv63grj4to7byio/app.bsky.feed.post/3lsgtjxjwas2v,0.19015151515151515,positive,50
at://did:plc:bhnp7tnocw74jj43jkdidi2n/app.bsky.feed.post/3lsg5knkzu22c,0.14981060606060606,positive,50
at://did:plc:y2v2hvehgzh4xi3cwje3ws43/app.bsky.feed.post/3lse6abc3uc2n,0.13333333333333333,positive,50
at://did:plc:y2v2hvehgzh4xi3cwje3ws43/app.bsky.feed.post/3lsjdwui2uk26,0.125,positive,50
at://did:plc:eexrkxc76w3z3bxsdhonvdxn/app.bsky.feed.post/3lsbijggdp22q,0.1,positive,50
at://did:plc:y2v2hvehgzh4xi3cwje3ws43/app.bsky.feed.post/3lsdsjeem7c2n,0.03333333333333333,positive,50
at://did:plc:ydqzin7kctnatbefaxcp6f7s/app.bsky.feed.post/3lsj7f7feoc2r,0.0,neutral,50
at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lskk3wewnk2u,0.0,neutral,50
at://did:plc:jtj4ocf2hc4hyhzt5fnsj62j/app.bsky.feed.post/3lsk5fig7522b,0.0,neutral,50
at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lsfke5lixc2b,0.0,neutral,50
at://did:plc:eexrkxc76w3z3bxsdhonvdxn/app.bsky.feed.post/3lsldlh4vws2s,0.0,neutral,50
at://did:plc:y2v2hvehgzh4xi3cwje3ws43/app.bsky.feed.post/3lsgddhzxw22e,0.0,neutral,50
at://did:plc:pk6efsxke5dfdkwzaa6velve/app.bsky.feed.post/3lshhzfbbuc2w,0.0,neutral,50
at://did:plc:6khwbcjlzf24liywdat6avgd/app.bsky.feed.post/3lshgvsidj226,0.0,neutral,50
at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lsczrexks22m,0.0,neutral,50
